2,gomez palacio,durango,fghjk|,14/12/2021,1
3,dsa,asd,gtr,23/12/2021,1
4,Torreónn,Coahuila de Zaragoza,CasasVenta_12_23_21_Torreón_Coahuila de Zaragoza_NoNaN_LAMU.csv,23/12/2021,1
8,Torreón,Coahuila de Zaragoza,CasasVenta_12_23_21_Torreón_Coahuila de Zaragoza_NoNaN_LAMU.csv,23/12/2021,1
24,Monterrey,Nuevo León,CasasVenta_01_11_22_Monterrey_Nuevo León_NoNaN_LAMU.csv,11/01/2022,1
25,Guadalupe,Nuevo León,CasasVenta_01_11_22_Guadalupe_Nuevo León_NoNaN_LAMU.csv,11/01/2022,1
33,Progreso,Baja California,CasasVenta_01_19_22_Progreso_Baja California_NoNaN_LAMU.csv,19/01/2022,1
34,Tecate,Baja California,CasasVenta_01_19_22_Tecate_Baja California_NoNaN_LAMU.csv,19/01/2022,1
,,,,,
